"","Year","Value","Biological_Comp","Gender"
"1",1,7574276.24,"Susceptible","Men"
"2",2,7698924.18,"Susceptible","Men"
"3",3,7835877.12,"Susceptible","Men"
"4",4,7973949.75,"Susceptible","Men"
"5",5,8107242.73,"Susceptible","Men"
"6",6,7807206.72,"Susceptible","Men"
"7",7,7559123.81,"Susceptible","Men"
"8",8,7355940.91,"Susceptible","Men"
"9",9,7191988.39,"Susceptible","Men"
"10",10,7062147.67,"Susceptible","Men"
"11",11,6961549.41,"Susceptible","Men"
"12",12,7220094.99,"Susceptible","Men"
"13",13,7473828.19,"Susceptible","Men"
"14",14,7720362.58,"Susceptible","Men"
"15",15,7957809.36,"Susceptible","Men"
"16",16,8184837.4,"Susceptible","Men"
"17",17,8400604.84,"Susceptible","Men"
"18",18,8604621.32,"Susceptible","Men"
"19",19,8796619.33,"Susceptible","Men"
"20",20,8976462.36,"Susceptible","Men"
"21",21,9144084.02,"Susceptible","Men"
"22",22,9299448.46,"Susceptible","Men"
"23",23,9442531.17,"Susceptible","Men"
"24",24,9573325.29,"Susceptible","Men"
"25",25,9691875.32,"Susceptible","Men"
"26",26,9798330.51,"Susceptible","Men"
"27",27,9893001.84,"Susceptible","Men"
"28",28,9976404.02,"Susceptible","Men"
"29",29,10049268.55,"Susceptible","Men"
"30",30,10112523.19,"Susceptible","Men"
"31",1,10062130.4,"Susceptible","Women"
"32",2,10124088.58,"Susceptible","Women"
"33",3,10164038.56,"Susceptible","Women"
"34",4,10190399.07,"Susceptible","Women"
"35",5,10208145.02,"Susceptible","Women"
"36",6,9557967.92,"Susceptible","Women"
"37",7,9015490.45,"Susceptible","Women"
"38",8,8566846.04,"Susceptible","Women"
"39",9,8200912.39,"Susceptible","Women"
"40",10,7907613.6,"Susceptible","Women"
"41",11,7677070.58,"Susceptible","Women"
"42",12,7891640.59,"Susceptible","Women"
"43",13,8117082.87,"Susceptible","Women"
"44",14,8349218.43,"Susceptible","Women"
"45",15,8583767.06,"Susceptible","Women"
"46",16,8817098.26,"Susceptible","Women"
"47",17,9046533.68,"Susceptible","Women"
"48",18,9270247.06,"Susceptible","Women"
"49",19,9487003.89,"Susceptible","Women"
"50",20,9695898.78,"Susceptible","Women"
"51",21,9896152.05,"Susceptible","Women"
"52",22,10086980.46,"Susceptible","Women"
"53",23,10267544.05,"Susceptible","Women"
"54",24,10436965.1,"Susceptible","Women"
"55",25,10594406.09,"Susceptible","Women"
"56",26,10739181.73,"Susceptible","Women"
"57",27,10870872.68,"Susceptible","Women"
"58",28,10989410.01,"Susceptible","Women"
"59",29,11095110.17,"Susceptible","Women"
"60",30,11188655.02,"Susceptible","Women"
"61",1,914379.79,"Infected","Men"
"62",2,1045753.47,"Infected","Men"
"63",3,1149440.61,"Infected","Men"
"64",4,1236419,"Infected","Men"
"65",5,1313459.18,"Infected","Men"
"66",6,1369822.53,"Infected","Men"
"67",7,1395362.91,"Infected","Men"
"68",8,1395441.34,"Infected","Men"
"69",9,1375221.68,"Infected","Men"
"70",10,1339405.94,"Infected","Men"
"71",11,1292025,"Infected","Men"
"72",12,1246342.63,"Infected","Men"
"73",13,1213404.02,"Infected","Men"
"74",14,1192828.15,"Infected","Men"
"75",15,1183742.48,"Infected","Men"
"76",16,1185058.09,"Infected","Men"
"77",17,1195645.83,"Infected","Men"
"78",18,1214407.31,"Infected","Men"
"79",19,1240273.49,"Infected","Men"
"80",20,1272166.77,"Infected","Men"
"81",21,1308955.94,"Infected","Men"
"82",22,1349427.21,"Infected","Men"
"83",23,1392287.14,"Infected","Men"
"84",24,1436203.64,"Infected","Men"
"85",25,1479879.75,"Infected","Men"
"86",26,1522144.49,"Infected","Men"
"87",27,1562039.81,"Infected","Men"
